,Name,Age,Team,Medal
191,Nathan Ghar-Jun Adrian,23.0,United States,Gold
192,Nathan Ghar-Jun Adrian,23.0,United States,Silver
193,Nathan Ghar-Jun Adrian,27.0,United States,Bronze
194,Nathan Ghar-Jun Adrian,27.0,United States,Gold
195,Adriana Aparecida dos Santos,25.0,Brazil,Silver
196,Adriana Aparecida dos Santos,29.0,Brazil,Bronze
197,"Adriana ""Adrianinha"" Moiss Pinto",21.0,Brazil,Bronze
198,Attila Adrovicz,30.0,Hungary,Silver
199,Klaus Aeffke,24.0,Germany,Silver
200,Kseniya Dmitriyevna Afanasyeva,20.0,Russia,Silver
201,Maksim Sergeyevich Afinogenov,22.0,Russia,Bronze
202,"Olabisi ""Bisi"" Afolabi",20.0,Nigeria,Silver
203,Felicia Afrsiloaie (-Jitianu),22.0,Romania,Bronze
204,Cecil Sebastian Afrika,28.0,South Africa,Bronze
205,Muhammad Afzal Manna,25.0,Pakistan,Silver
206,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",27.0,South Africa,Bronze
207,Lavinia Agache (-Carney),16.0,Romania,Gold
208,Lavinia Agache (-Carney),16.0,Romania,Bronze
209,Luca Agamennoni,24.0,Italy,Bronze
210,Luca Agamennoni,27.0,Italy,Silver
211,Andre Kirk Agassi,26.0,United States,Gold
212,Clarisse Agbegnenou,23.0,France,Silver
213,Henrik Agersborg,47.0,Stella-2,Bronze
214,Viktor Ivanovich Ageyev,20.0,Soviet Union,Bronze
215,Viktor Ivanovich Ageyev,24.0,Soviet Union,Silver
216,Viktor Ivanovich Ageyev,28.0,Soviet Union,Bronze
217,Marilyn Agliotti,29.0,Netherlands,Gold
218,Marilyn Agliotti,33.0,Netherlands,Gold
219,Yannick Agnel,20.0,France,Gold
220,Yannick Agnel,20.0,France,Silver
221,Meghan Christina Agosta (-Marciano),18.0,Canada,Gold
222,Meghan Christina Agosta (-Marciano),23.0,Canada,Gold
223,Meghan Christina Agosta (-Marciano),26.0,Canada,Gold
224,"Benjamin Alexandro ""Ben"" Agosto",24.0,United States-1,Silver
225,Judit goston-Mendelnyi,27.0,Hungary,Gold
226,Carlo Agostoni Faini,19.0,Italy,Gold
227,Carlo Agostoni Faini,23.0,Italy,Bronze
228,Carlo Agostoni Faini,23.0,Italy,Silver
229,Carlo Agostoni Faini,39.0,Italy,Silver
230,Erik Alfred gren,20.0,Sweden,Bronze
231,"Estella ""Stella"" Agsteribbe (-Blits)",19.0,Netherlands,Gold
232,Sergio Leonel Agero del Castillo,20.0,Argentina,Gold
233,"Taismary ""Tai"" Agero Leiva (-Botteghi)",23.0,Cuba,Gold
234,Jos Aguilar Pulsn,20.0,Cuba,Bronze
235,Macarena Aguilar Daz,27.0,Spain,Bronze
236,Sandra Aguilar Navarro,23.0,Spain,Silver
237,Jorge Luis Aguilera Ruiz,26.0,Cuba,Bronze
238,Sri Wahyuni Agustiani,21.0,Indonesia,Silver
239,Robyn Mokihana Ah Mow-Santos,32.0,United States,Silver
240,Kevin Joseph Ahearn,23.0,United States,Silver
241,"Timothy Joseph ""Tim"" Ahearne",22.0,Great Britain,Gold
242,Bruno Valfrid Ahlberg,21.0,Finland,Bronze
243,Mats Bertil hlberg,32.0,Sweden,Bronze
244,Annica Gunilla hln,27.0,Sweden,Bronze
245,Johan Petter hln (Andersson-),44.0,Sweden,Silver
246,Thomas Valter hln,24.0,Sweden,Bronze
247,Anselm Ahlfors,26.0,Finland,Silver
248,Anders Oscar Ahlgren,24.0,Sweden,Silver
249,George Lewis Ahlgren,19.0,United States,Gold
250,Christian Ahlmann,29.0,Germany,Bronze
251,Christian Ahlmann,41.0,Germany,Bronze
252,Thure Johan Ahlqvist,25.0,Sweden,Silver
253,"Sten Olov ""Olle"" hlund",31.0,Sweden,Bronze
254,Tontowi Ahmad,29.0,Indonesia-1,Gold
255,Arne Per hman,23.0,Sweden,Gold
256,Jrg Ahmann,34.0,Germany-1,Bronze
257,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",22.0,United States,Gold
258,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",22.0,United States,Silver
259,Muhammad Akhlaq Ahmed,20.0,Pakistan,Bronze
260,Muhammad Ashfaq Ahmed,21.0,Pakistan,Gold
261,Bashir Ahmed,25.0,Pakistan,Gold
262,Ishtiaq Ahmed,21.0,Pakistan,Gold
263,Manzoor Ahmed,24.0,Pakistan,Bronze
264,Mushtaq Ahmed,28.0,Pakistan,Gold
265,Mushtaq Ahmed,27.0,Pakistan,Gold
266,Riaz Ahmed,27.0,Pakistan,Gold
267,Riaz Ahmed,30.0,Pakistan,Silver
268,Shahbaz Ahmed,23.0,Pakistan,Bronze
269,Arthur Ahnger,26.0,Lucky Girl-1,Bronze
270,Janne Petteri Ahonen,24.0,Finland,Silver
271,Janne Petteri Ahonen,28.0,Finland,Silver
272,Peter Ahrendt,30.0,Mutafo,Silver
273,Brigitte Ahrenholz,23.0,East Germany,Gold
274,"Christian ""Chris"" Ahrens",28.0,United States,Gold
275,Marlene Ahrens Ostertag (-Ebensperger),23.0,Chile,Silver
276,Thomas Ahrens,16.0,Germany,Silver
277,Matteo Aicardi,26.0,Italy,Silver
278,Matteo Aicardi,30.0,Italy,Bronze
279,Mara Magdalena Aicega Amicarelli,26.0,Argentina,Silver
280,Mara Magdalena Aicega Amicarelli,30.0,Argentina,Bronze
281,Mara Magdalena Aicega Amicarelli,34.0,Argentina,Bronze
282,Hans Aichele,24.0,Switzerland-1,Silver
283,Rosaria Aiello,27.0,Italy,Silver
284,Franz Aigner,32.0,Austria,Silver
285,Hannes Aigner,23.0,Germany,Bronze
286,Nobuyuki Aihara,21.0,Japan,Silver
287,Nobuyuki Aihara,25.0,Japan,Gold
288,Yutaka Aihara,21.0,Japan,Bronze
289,Ryoji Aikawa,28.0,Japan,Bronze
290,Alexander Michael Hirst Aikman,23.0,Australia,Bronze
291,"Charles Benedict ""Ben"" Ainslie",19.0,Great Britain,Silver
292,"Charles Benedict ""Ben"" Ainslie",23.0,Great Britain,Gold
293,"Charles Benedict ""Ben"" Ainslie",27.0,Great Britain,Gold
294,"Charles Benedict ""Ben"" Ainslie",31.0,Great Britain,Gold
295,"Charles Benedict ""Ben"" Ainslie",35.0,Great Britain,Gold
296,Kurt Harold Ainsworth,22.0,United States,Gold
297,John Creyghton Ainsworth-Davis,25.0,Great Britain,Gold
298,Robin Allingham Aisher,34.0,Great Britain,Bronze
299,"Gordon ""Gord"" Aitchison",27.0,Canada,Silver
300,Frances Helen Aitchison (-Leisk),30.0,Great Britain-1,Silver
301,Brett Aitken,21.0,Australia,Silver
302,Brett Aitken,25.0,Australia,Bronze
303,Brett Aitken,29.0,Australia,Gold
304,Vladimir Atoff,20.0,Union des Socits Franais de Sports Athletiques,Gold
305,Artur Surenovych Aivazian,35.0,Ukraine,Gold
306,Eirini Andili,17.0,Greece,Bronze
307,"Oluwafemi ""Junior"" Ajayi",20.0,Nigeria,Bronze
308,Omar Ajete Iglesias,27.0,Cuba,Gold
309,Omar Ajete Iglesias,31.0,Cuba,Gold
310,Omar Ajete Iglesias,35.0,Cuba,Silver
311,"Ebenezer Oluwafemi ""Femi"" Ajilore",23.0,Nigeria,Silver
312,Mobolade Abimbola Ajomale,20.0,Canada,Bronze
313,Chioma Ajunwa (-Opara),24.0,Nigeria,Gold
314,Kriss Kezie Uche Chukwu Duru Akabusi,25.0,Great Britain,Silver
315,Kriss Kezie Uche Chukwu Duru Akabusi,33.0,Great Britain,Bronze
316,Kosei Akaishi,19.0,Japan,Silver
317,Kosei Akaishi,27.0,Japan,Bronze
318,Nasuh Akar,23.0,Turkey,Gold
319,Yuichi Akasaka,24.0,Japan,Bronze
320,Vehbi Akda,23.0,Turkey,Silver
321,Ernst Gunnar kerlund,24.0,Sweden,Gold
322,Ernst Gunnar kerlund,28.0,Sweden,Silver
323,Olle Erik Curys kerlund,20.0,Bissbi,Gold
324,Michelle Anne Akers,30.0,United States,Gold
325,Taha Akgl,25.0,Turkey,Gold
326,Yelena Rabigovna Akhaminova (-Sokolovskaya),18.0,Soviet Union,Gold
327,Albina Khamitovna Akhatova,21.0,Russia,Silver
328,Albina Khamitovna Akhatova,25.0,Russia,Bronze
329,Albina Khamitovna Akhatova,29.0,Russia,Bronze
330,Albina Khamitovna Akhatova,29.0,Russia,Gold
331,Murodzhon Kakharovich Akhmadaliyev,21.0,Uzbekistan,Bronze
332,Artur Kamilevich Akhmatkhuzin,28.0,Russia,Gold
333,Bakhtiyar Shakhabutdinovich Akhmedov,21.0,Russia,Silver
334,Lyutvi Dzhiber Akhmedov,34.0,Bulgaria,Silver
335,Leyla Begnyazovna Akhmerova,23.0,Soviet Union,Bronze
336,Igor Vladimirovich Akhremchik,26.0,Soviet Union,Bronze
337,Gulraiz Akhtar,25.0,Pakistan,Gold
338,Naeem Akhtar,23.0,Pakistan,Gold
339,John Akii-Bua,22.0,Uganda,Gold
340,Anatoly Ivanovich Akimov,24.0,Soviet Union,Gold
341,Vladimir Ivanovich Akimov,27.0,Soviet Union,Gold
342,Morolake Akinosun,22.0,United States,Gold
343,Foluke Antinuke Akinradewo,24.0,United States,Silver
344,Foluke Antinuke Akinradewo,28.0,United States,Bronze
345,Khadzhimurat Magomedovich Akkayev,19.0,Russia,Silver
346,Khadzhimurat Magomedovich Akkayev,23.0,Russia,Bronze
347,Marina Dazmirovna Akobiya,25.0,Russia,Bronze
348,Artur Vladimirovich Akoyev,26.0,Unified Team,Silver
349,Daniel Akpeyi,30.0,Nigeria,Bronze
350,Monica Aksamit,26.0,United States,Bronze
351,Liudmyla Vasylivna Aksenova (Shapovalova-),29.0,Soviet Union,Bronze
352,Aleksandr Timofeyevich Aksinin,21.0,Soviet Union,Bronze
353,Aleksandr Timofeyevich Aksinin,25.0,Soviet Union,Gold
354,Nikolay Aleksandrovich Aksyonov,26.0,Russia,Bronze
355,Irina Anatolyevna Aksyonova,17.0,Soviet Union,Bronze
356,Vladyslav Ivanovych Akymenko,23.0,Soviet Union,Silver
357,Naser Al Shami,22.0,Syria,Bronze
358,Nasser Salih Nasser Abdullah Al-Attiya,41.0,Qatar,Bronze
359,Fehaid Al-Deehani,33.0,Kuwait,Bronze
360,Fehaid Al-Deehani,45.0,Kuwait,Bronze
361,Fehaid Al-Deehani,49.0,Individual Olympic Athletes,Gold
362,Ramzy Al-Duhami,40.0,Saudi Arabia,Bronze
363,Khaled Al-Eid,31.0,Saudi Arabia,Bronze
364,Abdul Rashid Al-Hasan,25.0,Pakistan,Gold
365,Ahmed bin Hasher Al-Maktoum,40.0,United Arab Emirates,Gold
366,Abdullah Al-Rashidi,52.0,Individual Olympic Athletes,Bronze
367,Prince Abdullah Bin Moteb Al-Saud,27.0,Saudi Arabia,Bronze
368,Hadi Soua'an Al-Somaily Jaadan,23.0,Saudi Arabia,Silver
369,Marina Alabau Neira,26.0,Spain,Gold
370,Armenak Alachachyan,33.0,Soviet Union,Silver
371,Arsen Shakhlamazovich Alakhverdiyev,23.0,Soviet Union,Silver
372,Noor Alam,26.0,Pakistan,Silver
373,Noor Alam,30.0,Pakistan,Gold
374,Vladan Alanovi,25.0,Croatia,Silver
375,Mika Antero Alatalo,22.0,Finland,Bronze
376,Toimi Johannes Alatalo,30.0,Finland,Gold
377,Fabio Albarelli,25.0,Italy,Bronze
378,Marco Albarello,31.0,Italy,Silver
379,Marco Albarello,33.0,Italy,Bronze
380,Marco Albarello,33.0,Italy,Gold
381,Marco Albarello,37.0,Italy,Silver
382,Pierre Henri Maurice Albarran,26.0,France-3,Bronze
383,Ruslan Vladimirovich Albegov,24.0,Russia,Bronze
384,David Albelda Aliqus,23.0,Spain,Silver
385,Reinhard Alber,20.0,West Germany,Bronze
386,Alberto Alberani Samaritani,29.0,Italy,Silver
387,Flrin Albert,18.0,Hungary,Bronze
388,Nely Carla Alberto Francisca,29.0,Spain,Bronze
389,Georg Albert Christian Albertsen,30.0,Denmark,Gold
390,Ebbe Gustav Bertil Albertsson (-Andersson),26.0,Sweden,Bronze
391,Abramo Albini,20.0,Italy,Bronze
392,Islam-Beka Said-Tsilimovich Albiyev,19.0,Russia,Gold
393,Sylvia Albrecht (-Heckendorf),17.0,East Germany,Bronze
394,Brigitte Albrecht-Loretan,31.0,Switzerland,Bronze
395,John Robert Albrechtson,39.0,Sweden,Gold
396,"Tenley Emma Albright (-Gardiner, -Blakely)",16.0,United States,Silver
397,"Tenley Emma Albright (-Gardiner, -Blakely)",20.0,United States,Gold
398,"David Donald ""Dave"" Albritton",23.0,United States,Silver
399,Anatoly Mikhaylovich Albul,24.0,Soviet Union,Bronze
400,Aldair Nascimento dos Santos,30.0,Brazil,Bronze
401,Andrs Aldama Cabrera,20.0,Cuba,Silver
402,Andrs Aldama Cabrera,24.0,Cuba,Gold
403,"Frederick Pitt ""Fred"" Alderman",22.0,United States,Gold
404,"Joan ""Jody"" Alderson (-Braskamp)",17.0,United States,Bronze
405,David Alegre Biosca,23.0,Spain,Silver
406,Ramn Alegre Biosca,27.0,Spain,Silver
407,Jo Qesem Ayela Aleh,26.0,New Zealand,Gold
408,Jo Qesem Ayela Aleh,30.0,New Zealand,Silver
409,Virgilijus Alekna,28.0,Lithuania,Gold
410,Virgilijus Alekna,32.0,Lithuania,Gold
411,Virgilijus Alekna,36.0,Lithuania,Bronze
412,Boris Viktorovich Aleksandrov,20.0,Soviet Union,Gold
413,Rumen Aleksandrov,20.0,Bulgaria,Silver
414,Veniamin Veniaminovich Aleksandrov,22.0,Soviet Union,Bronze
415,Veniamin Veniaminovich Aleksandrov,26.0,Soviet Union,Gold
416,Veniamin Veniaminovich Aleksandrov,30.0,Soviet Union,Gold
417,Vladimir Petrovich Aleksandrov,26.0,Soviet Union-2,Bronze
418,Larisa Aleksandrova-Popova,19.0,Soviet Union,Silver
419,Larisa Aleksandrova-Popova,23.0,Soviet Union,Gold
420,Artur Aleksanyan,20.0,Armenia,Bronze
421,Artur Aleksanyan,24.0,Armenia,Gold
422,Vasily Ivanovich Alekseyev,30.0,Soviet Union,Gold
423,Vasily Ivanovich Alekseyev,34.0,Soviet Union,Gold
424,Galina Aleksandrovna Alekseyeva,17.0,Soviet Union,Bronze
425,Milan Aleksi,26.0,Serbia,Bronze
426,Milan Aleksi,30.0,Serbia,Gold
427,Alessandra dos Santos de Oliveira,22.0,Brazil,Silver
428,Alessandra dos Santos de Oliveira,26.0,Brazil,Bronze
429,Hugh Vincenzo Alessandroni,24.0,United States,Bronze
430,Karl Theophil Christian Aletter,26.0,Germany,Silver
431,Alex Sandro Lobo Silva,21.0,Brazil,Silver
432,Gustav Bernhard Franck Alexander,26.0,Great Britain,Silver
433,Lisa Alexander,27.0,Canada,Silver
434,Michael O'Donel Bjarne Alexander,24.0,Great Britain,Silver
435,Buffy-Lynne Alexander-Williams,23.0,Canada,Bronze
436,Marc Robert Alexandre,24.0,France,Bronze
437,Marc Robert Alexandre,28.0,France,Gold
438,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",18.0,Brazil,Bronze
439,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",22.0,Brazil,Silver
440,Constantin Alexandru,26.0,Romania,Silver
441,Ion Alexe,26.0,Romania,Silver
442,Vladimir Petrovich Aleynik,23.0,Soviet Union,Bronze
443,Vladimir Petrovich Aleynik,27.0,Soviet Union,Silver
444,Yevgeny Vasilyevich Aleynikov,33.0,Russia,Bronze
445,Abdoul Razak Issoufou Alfaga,21.0,Niger,Silver
446,Lidiya Nikolayevna Alfeyeva,30.0,Soviet Union,Bronze
447,Alfonso Prez Muoz,19.0,Spain,Gold
448,"Stephen Todd ""Steve"" Alford",19.0,United States,Gold
449,Axel Alfredsson,22.0,Sweden,Bronze
450,Hans Daniel Alfredsson,33.0,Sweden,Gold
451,Hans Daniel Alfredsson,41.0,Sweden,Silver
452,Max Ferdinand Alfthan,20.0,Heatherbell,Bronze
453,"Zenny ""Algodo"" de Azevedo",23.0,Brazil,Bronze
454,"Zenny ""Algodo"" de Azevedo",35.0,Brazil,Bronze
455,Ulf Hkan Gran Algotsson,27.0,Sweden,Gold
456,Sara Anneli Algotsson Ostholt,37.0,Sweden,Silver
457,Nasir Ali,25.0,Pakistan,Gold
458,Nia Sifaatihii Ali,27.0,United States,Silver
459,Shaukat Ali,30.0,India,Gold
460,Syed Mushtaq Ali,22.0,India,Gold
461,mile Ali Khan,17.0,France,Silver
462,Rahim Aliabadi,29.0,Iran,Silver
463,Gaston Jules Louis Antoine Alibert,30.0,France,Gold
464,Sergey Gennadyevich Alifirenko,41.0,Russia,Gold
465,Sergey Gennadyevich Alifirenko,45.0,Russia,Bronze
466,Vladimir Aleksandrovich Alikin,22.0,Soviet Union,Silver
467,Vladimir Aleksandrovich Alikin,22.0,Soviet Union,Gold
468,Mirko Alilovi,26.0,Croatia,Bronze
469,Aline Pellegrino,22.0,Brazil,Silver
